12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_6_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 20428.870
BKS: 18571.7
Optimal: 0
Mon 14 Feb 2022 12:34:42 AM EST
timestamp: 1644816882
Solution value, local machine time, standardized time
19015.9 39.793 43.852
19013.5 39.890 43.959
19008.1 40.669 44.817
19004.1 41.118 45.312
19002.1 41.821 46.087
18993.3 41.856 46.125
18983.5 41.891 46.164
18966.6 41.893 46.166
18965.5 41.895 46.168
18965.0 42.091 46.384
18963.2 42.561 46.902
18961.4 42.654 47.005
18961.3 42.655 47.006
18958.3 43.871 48.346
18957.1 43.874 48.349
18956.3 43.957 48.441
18956.1 43.979 48.465
18955.1 43.993 48.480
18954.9 44.043 48.535
18951.3 44.648 49.202
18947.7 44.652 49.207
18946.3 44.665 49.221
18945.9 44.803 49.373
18945.1 44.832 49.405
18944.7 44.847 49.421
18943.5 44.902 49.482
18929.3 44.927 49.510
18927.3 45.031 49.624
18921.5 45.218 49.830
18918.2 45.303 49.924
18917.8 45.367 49.994
18907.3 45.427 50.061
18906.9 45.431 50.065
18896.7 45.731 50.396
18892.9 45.962 50.650
18892.8 46.189 50.900
18892.7 46.943 51.731
18891.9 46.951 51.740
18891.8 47.254 52.074
18888.5 48.171 53.084
18888.3 48.186 53.101
18883.4 48.244 53.165
18858.8 48.707 53.675
18855.3 48.710 53.678
18853.2 49.511 54.561
18853.1 49.686 54.754
18851.5 50.791 55.972
18850.5 63.200 69.646
18841.6 69.202 76.261
18841.5 69.984 77.122
18839.7 70.249 77.414
18838.0 70.744 77.960
18834.5 70.747 77.963
18834.0 70.888 78.119
18832.4 70.927 78.162
18831.8 70.933 78.168
18829.9 70.977 78.217
18829.7 71.199 78.461
18829.5 72.002 79.346
18829.1 72.528 79.926
18815.1 77.214 85.090
18815.0 78.001 85.957
18814.9 78.031 85.990
18814.8 83.658 92.191
18812.8 84.135 92.717
18812.2 84.789 93.437
18812.0 85.413 94.125
18811.5 85.419 94.132
18811.1 86.049 94.826
18810.5 86.661 95.500
18806.0 88.446 97.467
18804.4 105.222 115.955
18802.4 105.956 116.764
18802.2 107.469 118.431
18794.0 107.479 118.442
18787.0 107.482 118.445
18784.6 107.484 118.447
18784.2 107.573 118.545
18783.9 108.788 119.884
18781.9 108.916 120.025
18781.4 112.840 124.350
18776.7 113.987 125.614
18774.6 115.785 127.595
18773.6 117.265 129.226
18771.4 119.192 131.350
18768.9 119.219 131.379
18768.3 119.224 131.385
18768.1 119.225 131.386
18767.2 134.178 147.864
18766.9 138.729 152.879
18765.2 139.462 153.687
18764.8 143.882 158.558
18764.5 147.351 162.381
18762.1 147.370 162.402
18761.4 147.412 162.448
18759.3 157.704 173.790
18758.9 170.660 188.067
18758.7 171.773 189.294
18753.2 171.779 189.300
18752.9 172.244 189.813
18752.6 172.731 190.350
18752.4 173.932 191.673
18752.1 174.107 191.866
18751.7 174.111 191.870
18751.4 174.282 192.059
18751.1 174.677 192.494
18746.9 175.159 193.025
18738.7 176.796 194.829
18735.0 178.584 196.800
18734.5 179.495 197.803
18734.2 183.983 202.749
18733.3 188.535 207.766
18733.1 188.950 208.223
18732.1 402.282 443.315
18730.7 577.340 636.229
18730.4 606.170 667.999
18730.3 612.525 675.003
18730.0 612.644 675.134
18729.8 612.797 675.302
18729.5 612.817 675.324
18726.2 613.380 675.945
18724.4 628.122 692.190
18722.4 628.125 692.194
18722.3 628.165 692.238
18721.7 755.892 832.993
18720.4 763.355 841.217
18720.3 768.273 846.637
18715.2 785.260 865.357
18714.1 785.262 865.359
18713.6 786.929 867.196
18707.9 797.070 878.371
18706.8 798.173 879.587
18706.0 798.236 879.656
18698.5 798.338 879.768
18697.6 819.014 902.553
18695.8 819.060 902.604
18694.9 821.964 905.804
18690.1 840.209 925.910
18687.4 853.140 940.160
18687.1 854.246 941.379
18684.0 861.886 949.798
18677.6 871.662 960.572
18676.7 872.086 961.039
18675.4 872.103 961.058
18670.6 874.566 963.772
18668.8 874.587 963.795
18668.4 883.705 973.843
18667.3 883.707 973.845
18663.6 883.945 974.107
18663.5 884.219 974.409
18663.3 903.383 995.528
18663.1 924.537 1018.840
18661.4 929.410 1024.210
18659.8 930.328 1025.221
18659.6 945.845 1042.321
18658.9 1075.567 1185.275
18653.2 1076.969 1186.820
18653.1 1079.269 1189.354
18651.4 1083.716 1194.255
18650.7 1083.717 1194.256
18646.3 1096.391 1208.223
18643.9 1099.312 1211.442
18643.6 1102.546 1215.006
18643.3 1107.837 1220.836
18643.1 1113.822 1227.432
18640.4 2411.581 2657.562
18640.1 2412.642 2658.731
18639.8 2413.500 2659.677
18636.1 2435.674 2684.113
18632.2 2447.695 2697.360
18631.9 2483.764 2737.108
18631.4 2782.921 3066.779
18631.1 2783.249 3067.140
18629.7 2799.316 3084.846
18629.4 2799.479 3085.026
Primal Integral: 0.5402376297
