12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC1_8_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 31199.630
BKS: 28363.3
Optimal: 0
Wed 26 Jan 2022 11:41:45 PM CST
timestamp: 1643211705
Solution value, local machine time, standardized time
30083.6 220.191 218.099
30083.5 220.192 218.100
30081.5 220.193 218.101
30081.1 220.194 218.102
30080.1 220.194 218.102
30079.7 220.195 218.103
30079.6 220.196 218.104
30079.5 220.197 218.105
30074.3 220.198 218.106
30069.6 220.199 218.107
30059.0 223.745 221.619
30054.6 223.746 221.620
30054.4 223.747 221.621
30046.7 223.748 221.622
30045.6 223.749 221.623
30043.1 223.750 221.624
30039.6 223.750 221.624
30038.4 223.751 221.625
30037.7 223.752 221.626
29996.7 226.804 224.649
29989.4 227.890 225.725
29984.2 227.895 225.730
29966.7 227.896 225.731
29960.0 227.897 225.732
29958.7 227.897 225.732
29957.8 227.898 225.733
29956.2 227.899 225.734
29949.3 227.900 225.735
29946.9 227.901 225.736
29946.6 227.902 225.737
29945.0 227.903 225.738
29944.0 227.903 225.738
29942.9 227.904 225.739
29941.2 227.905 225.740
29940.6 227.906 225.741
29938.5 227.907 225.742
29938.4 227.908 225.743
29938.2 227.909 225.744
29931.5 227.909 225.744
29929.0 227.910 225.745
29928.2 227.911 225.746
29927.8 227.912 225.747
29927.4 228.261 226.093
29921.4 228.288 226.119
29918.1 229.309 227.131
29903.9 229.310 227.132
29902.0 232.428 230.220
29900.4 232.470 230.262
29900.2 232.471 230.263
29899.6 235.942 233.701
29899.4 235.948 233.706
29898.5 236.906 234.655
29886.4 236.910 234.659
29885.3 236.911 234.660
29883.6 236.912 234.661
29881.8 236.913 234.662
29875.1 238.075 235.813
29873.7 238.076 235.814
29873.6 239.218 236.945
29864.5 239.886 237.607
29860.5 241.045 238.755
29851.8 241.059 238.769
29847.8 243.748 241.432
29845.7 244.809 242.483
29843.1 244.818 242.492
29841.6 248.446 246.086
29840.6 248.451 246.091
29840.5 248.452 246.092
29839.5 248.452 246.092
29835.1 248.453 246.093
29835.0 254.018 251.605
29828.8 254.384 251.967
29827.6 256.503 254.066
29818.9 256.506 254.069
29807.5 257.820 255.371
29807.2 257.821 255.372
29785.0 257.822 255.373
29763.0 257.823 255.374
29761.4 259.059 256.598
29761.0 259.059 256.598
29753.8 265.876 263.350
29751.8 265.877 263.351
29748.5 267.970 265.424
29747.2 268.379 265.829
29737.9 268.380 265.830
29736.0 268.387 265.837
29735.9 269.982 267.417
29735.0 269.983 267.418
29729.8 269.984 267.419
29729.2 269.984 267.419
29729.0 270.848 268.275
29728.0 270.849 268.276
29727.7 270.850 268.277
29725.2 270.852 268.279
29723.9 270.852 268.279
29723.7 270.853 268.280
29721.9 270.854 268.281
29721.1 270.855 268.282
29703.8 270.885 268.312
29700.4 270.886 268.313
29698.6 272.035 269.451
29698.5 272.060 269.475
29695.0 272.061 269.476
29693.8 272.061 269.476
29692.0 273.288 270.692
29690.5 273.310 270.714
29688.3 273.311 270.715
29677.0 274.885 272.274
29676.7 278.508 275.862
29674.3 278.509 275.863
29674.2 278.690 276.042
29673.0 278.691 276.043
29671.0 278.719 276.071
29668.0 278.719 276.071
29664.4 278.720 276.072
29649.7 279.222 276.569
29649.4 282.354 279.672
29646.7 282.363 279.681
29646.6 285.592 282.879
29646.2 285.596 282.883
29634.8 285.597 282.884
29634.3 293.942 291.150
29634.2 295.599 292.791
29633.3 296.994 294.173
29630.6 304.013 301.125
29628.6 304.014 301.126
29626.2 304.015 301.127
29625.9 306.693 303.779
29624.0 307.204 304.286
29616.5 307.205 304.287
29611.6 307.206 304.288
29609.3 309.558 306.617
29604.5 309.559 306.618
29603.3 309.560 306.619
29602.7 311.477 308.518
29602.0 311.478 308.519
29601.8 311.894 308.931
29600.7 311.898 308.935
29600.2 311.907 308.944
29600.1 311.908 308.945
29599.4 311.909 308.946
29597.3 311.910 308.947
29595.3 311.911 308.948
29594.7 311.912 308.949
29594.2 315.462 312.465
29591.1 315.463 312.466
29589.5 315.464 312.467
29586.7 317.377 314.362
29586.5 320.870 317.822
29586.2 320.871 317.823
29585.9 320.872 317.824
29585.4 320.873 317.825
29583.4 320.874 317.826
29582.3 320.875 317.827
29574.3 321.196 318.145
29559.3 321.197 318.146
29559.2 321.198 318.147
29558.3 321.199 318.148
29545.0 321.704 318.648
29541.8 323.534 320.460
29540.5 325.300 322.210
29539.8 325.316 322.225
29539.3 325.316 322.225
29538.6 325.317 322.226
29538.0 325.317 322.226
29537.3 330.038 326.903
29536.7 330.039 326.904
29535.7 330.040 326.905
